epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.4764375145721436,0.46856,1.2279853366851807,0.5522,0.001,3.2017118148505688,0.4468851541168988,3.6485969689674675
2,1.0942777993774413,0.6153,1.0398117809295655,0.6415,0.001,2.9427822260186076,0.46444254694506526,3.407224772963673
3,0.9352763245010376,0.67358,0.9096361596107483,0.6837,0.001,2.8268691059201956,0.42204451095312834,3.248913616873324
4,0.8259089184761047,0.71112,0.9097665888786316,0.6857,0.001,2.9217202640138566,0.4934471419546753,3.415167405968532
5,0.7425046138572693,0.74016,0.8134469927787781,0.7205,0.001,2.955105312168598,0.45377193903550506,3.4088772512041032
6,0.672468643989563,0.76528,0.818077446269989,0.7203,0.001,2.896738305920735,0.42842106195166707,3.325159367872402
7,0.6075152730369567,0.79054,0.8157465783119202,0.7221,0.001,2.8959557430353016,0.4353942971210927,3.3313500401563942
8,0.5527076479148865,0.80718,0.8177292392730713,0.7244,0.001,2.6380016661714762,0.47110302303917706,3.1091046892106533
9,0.49066418372154236,0.83016,0.8422134295463563,0.7273,0.001,2.8959363708272576,0.4438411870505661,3.3397775578778237
10,0.43596673257827756,0.85012,0.8456326158523559,0.7316,0.001,2.921343500027433,0.43468563607893884,3.356029136106372
