epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.883042893371582,0.25424,1.568339944076538,0.3885,0.002,56.12803545800125,3.248961875000532,59.37699733300178
2,1.3542759982681274,0.49782,1.133142254257202,0.597,0.002,55.26103866599806,3.126245041999937,58.387283707997994
3,0.9714532629776002,0.6527,0.9595363402366638,0.6618,0.002,56.32152316700012,3.161525708001136,59.48304887500126
4,0.7671601121139526,0.7325,0.8606615543365479,0.7112,0.002,56.301061582998955,3.0653638750009122,59.36642545799987
5,0.6245871272087097,0.78616,0.7256401744842529,0.7555,0.002,56.09155429100065,3.034861042000557,59.126415333001205
6,0.5112115966415405,0.82606,0.8754088851928711,0.7344,0.002,65.52277933300138,3.3075196250028966,68.83029895800428
7,0.4168921930789948,0.8579,0.6865720233440399,0.7872,0.002,39.0164531670016,1.93218670799979,40.94863987500139
8,0.33102143939971923,0.88866,0.7016242870330811,0.7865,0.002,32.45695491600054,1.921256417001132,34.37821133300167
9,0.26818552549362185,0.91086,0.7485226554870605,0.7836,0.002,32.14335816699895,1.8518675839986827,33.99522575099763
10,0.2118758313560486,0.92958,0.6743369781494141,0.8076,0.002,41.193402541997784,2.2835214590013493,43.476924000999134
