epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.5609018196487427,0.4743,1.2378673486709595,0.5671,0.001,19.81158591700114,1.343117832999269,21.154703750000408
2,1.193103904953003,0.54764,1.1863476932525634,0.6484,0.0009938441702975688,18.552134290999675,1.4937106249999488,20.045844915999623
3,1.1062278515625,0.6154,1.0509401109695435,0.5644,0.0009755282581475768,18.700531332999162,1.5951027920000342,20.295634124999197
4,1.0844826149749756,0.72494,1.269269881439209,0.651,0.0009455032620941839,19.144004750000022,1.5194903749998048,20.663495124999827
5,1.0412378352355958,0.77802,1.044161068725586,0.6112,0.0009045084971874737,20.464165708999644,1.481235999999626,21.94540170899927
6,0.9844649238586426,0.80584,1.083649274635315,0.7306,0.0008535533905932737,20.873943167000107,1.7046247079997556,22.578567874999862
7,0.9429143901824951,0.82222,1.0221248025894165,0.7604,0.0007938926261462366,19.69276499999978,1.63967404199866,21.33243904199844
8,0.8963304875183106,0.8488,1.029628081893921,0.7587,0.0007269952498697733,20.169594125000003,1.5251780420003342,21.694772167000338
9,0.8512309942245483,0.87296,0.9995297973632813,0.7748,0.0006545084971874737,21.36707537499933,1.2979612089984585,22.66503658399779
10,0.8174058467102051,0.87074,1.037801321029663,0.7632,0.0005782172325201155,18.058095874999708,1.440709832999346,19.498805707999054
11,0.7872370154571533,0.89272,1.0109087961196899,0.7801,0.0005,18.85134029100118,1.4146349999991799,20.26597529100036
12,0.7515020495986938,0.92422,0.9725610858917236,0.7967,0.0004217827674798847,19.66195270800017,1.4245094589987275,21.0864621669989
13,0.7325643898773193,0.9256,0.9913793817520141,0.7817,0.00034549150281252633,18.090121708999504,1.334664874999362,19.424786583998866
14,0.7110397700500488,0.93736,1.0042669315338135,0.7812,0.00027300475013022663,18.02181891699911,1.336048249999294,19.357867166998403
15,0.6908263967514038,0.94708,0.9786717178344727,0.7895,0.00020610737385376348,18.457140000000436,1.3197391249996144,19.77687912500005
16,0.674912871055603,0.9534,0.9703812240600586,0.8031,0.00014644660940672625,18.04651320800076,1.6679217500004597,19.71443495800122
17,0.6610237144470215,0.95952,0.9683732597351075,0.7943,9.549150281252631e-05,18.089835541000866,1.3968064579985366,19.486641998999403
18,0.6512190606689453,0.9636,0.9688488662719726,0.7959,5.4496737905816096e-05,17.917495166999288,1.3294227500009583,19.246917917000246
19,0.6498706321716309,0.96288,0.9694328657150268,0.7991,2.447174185242323e-05,17.94506554200052,1.4029624169997987,19.34802795900032
20,0.6449296003723145,0.96616,0.9715559032440185,0.7958,6.15582970243117e-06,18.151599500000884,1.4479945420007425,19.599594042001627
