epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,2.2951737071990967,0.09624,2.2980739040374756,0.0996,0.002,56.677264332996856,2.9773917909988086,59.654656123995665
2,2.3021786989593505,0.09724,2.064946728849411,0.089,0.002,51.12655895900025,2.878794874999585,54.005353833999834
3,2.296332434234619,0.09906,2.2955135590553284,0.0998,0.002,51.39315237499977,2.895479417002207,54.28863179200198
4,2.2996623119354247,0.09872,2.294066465187073,0.0995,0.002,51.84226933300306,2.9061002919988823,54.74836962500194
5,2.3027614141845705,0.0991,2.292051376914978,0.0987,0.002,50.61601258299925,2.82358504199874,53.43959762499799
6,2.3027746967315674,0.09874,2.2607323001861572,0.0976,0.002,49.632987959001184,2.853980124997179,52.48696808399836
7,2.302671251144409,0.0974,2.292280268764496,0.0991,0.002,49.677254583999456,2.818501916997775,52.49575650099723
8,2.3027933879852296,0.09804,2.2462566970825195,0.0965,0.002,49.90334687499853,2.8944144999986747,52.79776137499721
9,2.3027757972717287,0.09928,2.1787751096725465,0.0942,0.002,49.78871270899981,2.8939011250004114,52.68261383400022
10,2.302670185623169,0.10026,2.2384019538879394,0.0978,0.002,56.68431754199992,2.9037012079970737,59.58801874999699
