epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.712678144493103,0.34644,1.3322594909667969,0.5112,0.0005,51.51406295900233,2.994217417002801,54.50828037600513
2,1.1201516575622559,0.59634,0.9613509872436523,0.6635,0.0005,50.644635125001514,2.8227626249972673,53.46739774999878
3,0.8196614134407043,0.71212,0.8630451871871948,0.702,0.0005,49.72474062499896,2.8191735000000335,52.54391412499899
4,0.6399826484680176,0.77758,0.8081128438949585,0.7321,0.0005,50.07834258300136,2.813039625001693,52.89138220800305
5,0.48924233631134034,0.83056,0.7297441429138184,0.7633,0.0005,49.75275949999923,2.8368445000014617,52.58960400000069
6,0.3600207993888855,0.87464,0.7718008785247803,0.7661,0.0005,50.345195874997444,2.8331347499988624,53.178330624996306
7,0.26793521669864656,0.90756,0.8041359741210937,0.7665,0.0005,50.17951179100055,2.8757180419997894,53.05522983300034
8,0.19029457869052888,0.93552,0.8875827604770661,0.768,0.0005,49.626334541997494,2.818082375000813,52.44441691699831
9,0.14730011179447175,0.9504,0.8911308898925782,0.7636,0.0005,49.62440241699733,2.8284098750009434,52.45281229199827
10,0.11140741851329804,0.96264,1.042953387069702,0.7739,0.0005,50.436084707998816,2.8088839580013882,53.244968666000204
