epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.8403453006744386,0.2734,1.5290867214202881,0.397,0.001,3.679561574012041,0.49545913585461676,4.175020709866658
2,1.310517180557251,0.5112,1.1795770496368407,0.5707,0.001,3.453902965178713,0.4886469440534711,3.9425499092321843
3,1.0191409086227416,0.6337,0.9876081884384156,0.6531,0.001,3.40186963789165,0.5025767339393497,3.904446371831
4,0.8300434217071533,0.70618,0.8645335088729859,0.695,0.001,3.4125045081600547,0.4630458119791001,3.875550320139155
5,0.7038719311904907,0.75278,0.8089815717697143,0.7257,0.001,3.53807859797962,0.5149746618699282,4.053053259849548
6,0.595213283920288,0.79108,0.7528144626617431,0.7491,0.001,3.5030688389670104,0.5074387469794601,4.0105075859464705
7,0.5096922197818756,0.8234,0.7688658248901368,0.7524,0.001,3.451144963968545,0.4995696539990604,3.9507146179676056
8,0.430756894903183,0.85132,0.8032659620285034,0.7472,0.001,3.4567905198782682,0.5089076650328934,3.9656981849111617
9,0.363689254951477,0.87506,0.797374471282959,0.7585,0.001,3.470821431139484,0.4631852600723505,3.9340066912118345
10,0.30626335996627807,0.89586,0.8687568574905395,0.7557,0.001,3.5541692469269037,0.5215087169781327,4.0756779639050364
