epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.7411346662139893,0.3496,1.4435153011798858,0.4503,0.0001,54.67871516699961,2.931884625000748,57.61059979200036
2,1.3277635415649414,0.515,1.3811892471313476,0.4971,0.0001,53.29080695800076,2.879608000001099,56.17041495800186
3,1.1381937650299072,0.5859,1.1630144451141358,0.5856,0.0001,51.67133516700051,2.853355291999833,54.52469045900034
4,0.9865945857238769,0.64518,1.0963452087402343,0.6123,0.0001,50.611774541999694,2.8736566249990574,53.48543116699875
5,0.8460190716552735,0.69882,0.8495663040161133,0.6954,0.0001,51.37615066699982,3.036278166999182,54.412428833999
6,0.7137766386795044,0.74642,0.8138784889221191,0.7162,0.0001,50.15085508299853,2.8351152920004097,52.98597037499894
7,0.6001159903144836,0.78708,0.7508324626922608,0.7393,0.0001,55.28812620899953,3.4779543750009907,58.76608058400052
8,0.4883862314414978,0.82998,0.7551650100708008,0.7436,0.0001,51.22846729199955,2.829038332998607,54.05750562499816
9,0.39645017379760744,0.86144,0.7520117738723755,0.7537,0.0001,49.52911570799915,2.8218157090013847,52.35093141700054
10,0.29123227960586545,0.89976,0.764965489758621,0.7512,0.0001,49.56854395799928,2.819112541999857,52.38765649999914
