epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.3761324837875366,0.5075,1.0888521641731261,0.6185,0.001,3.252688867971301,0.445415997877717,3.698104865849018
2,0.9637619773674011,0.66324,0.9077309349060059,0.6832,0.001,2.8236326701007783,0.3954880640376359,3.2191207341384143
3,0.8011881132507325,0.72202,0.7954735834121704,0.7285,0.001,2.996164188021794,0.5046517089940608,3.5008158970158547
4,0.6888871348571778,0.76058,0.7727449306488037,0.7339,0.001,3.017798569984734,0.44009526493027806,3.457893834915012
5,0.6008672329902649,0.79098,0.7269409830093384,0.7502,0.001,3.023454312933609,0.4333836620207876,3.4568379749543965
6,0.5301250980186463,0.8146,0.7321668697357178,0.754,0.001,2.997849978040904,0.45795397902838886,3.4558039570692927
7,0.4700078053951263,0.83572,0.7439371088981629,0.7521,0.001,3.0235009810421616,0.4762006630189717,3.4997016440611333
8,0.4177088930130005,0.85622,0.6873745957374573,0.7704,0.001,3.031825917074457,0.43579134391620755,3.4676172609906644
9,0.3608158470153809,0.8739,0.7638291411876679,0.7537,0.001,2.891178920865059,0.5041709679644555,3.3953498888295144
10,0.3141933756828308,0.89042,0.7473727025985718,0.7682,0.001,2.938800491159782,0.4445624800864607,3.3833629712462425
