epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.2109290991020203,0.55868,1.1203543771743774,0.606,0.0005,56.14892450000116,3.136486999999761,59.28541150000092
2,0.7605166391181946,0.73456,0.7999484092712402,0.7306,0.0005,56.07548362500165,3.0707430000002205,59.14622662500187
3,0.5838734000205994,0.79746,0.6659850223541259,0.7794,0.0005,56.02881916700062,3.0522486660011054,59.081067833001725
4,0.4618800068283081,0.84152,0.7216703125,0.7625,0.0005,60.394029292001505,3.0688432909992116,63.46287258300072
5,0.36160149938583375,0.87618,0.6772742973327637,0.7752,0.0005,56.36274200000116,3.1446821670033387,59.5074241670045
6,0.2808175157737732,0.90434,0.7070406398773194,0.7851,0.0005,55.909107709001546,3.0884775840022485,58.997585293003795
7,0.21821888405799866,0.92514,1.0179722423553468,0.7402,0.0005,56.74284629199974,3.0639432499992836,59.806789541999024
8,0.16467697558403016,0.94266,0.722879090499878,0.8037,0.0005,59.02012800000011,3.0572823340007744,62.07741033400089
9,0.13991952858448028,0.952,0.7022160514831542,0.8139,0.0005,63.996397375001834,3.1393096669999068,67.13570704200174
10,0.10867965584278107,0.96174,0.7649019302368164,0.8116,0.0005,63.30504220799776,3.0782150419981917,66.38325724999595
