epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.3754487295722961,0.48946,1.2113360503196717,0.5644,0.001,56.91424108299907,3.114914542002225,60.029155625001295
2,0.8769720634078979,0.69214,1.0730049713134766,0.6516,0.001,57.093631791001826,3.504655417000322,60.59828720800215
3,0.6879345430374145,0.76294,0.7186099761962891,0.7571,0.001,59.98886041700098,4.077202250002301,64.06606266700328
4,0.5419534511947632,0.81422,0.7246811462402344,0.7608,0.001,66.95735004099697,3.1748726250007167,70.13222266599769
5,0.43204594020843506,0.85034,0.6719678394317627,0.7778,0.001,58.22164474999954,3.155009500002052,61.37665425000159
6,0.3505593243980408,0.88056,0.6495051315307617,0.7965,0.001,57.5143357909983,3.4036370840003656,60.91797287499867
7,0.27559349323749543,0.90544,0.6852817001342774,0.7952,0.001,59.12436966699897,3.1707661250002275,62.2951357919992
8,0.21456065690994264,0.92694,0.6643460876464844,0.8103,0.001,58.97182383300242,3.10417979200065,62.07600362500307
9,0.17706254442214966,0.93966,0.7238655410766601,0.8008,0.001,57.779244249999465,3.183246333999705,60.96249058399917
10,0.13360415034532547,0.95388,0.8837139266967774,0.7835,0.001,59.01829712499966,3.17381849999947,62.19211562499913
