epoch,train_loss,train_accuracy,test_loss,test_accuracy,learning_rate,train_seconds,test_seconds,epoch_seconds
1,1.2342648579025268,0.55428,1.0791562671661377,0.616,0.0001,62.44789912499982,3.2847254169992084,65.73262454199903
2,0.8083385144042968,0.715,0.9096189832687378,0.6865,0.0001,56.06347879099849,3.0181683339997107,59.0816471249982
3,0.5770602334594727,0.79704,0.9437144798278808,0.6857,0.0001,55.399003041999094,3.0539506250006525,58.45295366699975
4,0.3948602233505249,0.86218,0.9613709060668946,0.7063,0.0001,55.43327716600106,3.0542397500012157,58.48751691600228
5,0.2583812576675415,0.9121,1.0270360829353333,0.7069,0.0001,56.022404249999454,3.090996625000116,59.11340087499957
6,0.17542216871261596,0.93942,1.0111987480163573,0.729,0.0001,55.54678508300094,3.074428124999031,58.62121320799997
7,0.12606539185523988,0.95648,1.3680399963378906,0.6906,0.0001,55.559837790999154,3.0514274170000135,58.61126520799917
8,0.1084742111992836,0.96208,1.1508661468505859,0.7312,0.0001,55.97235733399975,3.0184895000020333,58.990846834001786
9,0.09299455519914628,0.9676,1.1403886177062987,0.742,0.0001,55.41989329200078,3.0380896249989746,58.457982916999754
10,0.07364969050049781,0.97488,1.2467470226287842,0.7287,0.0001,55.391066500000306,3.032431417002954,58.42349791700326
